age,sex,education,occupation,hours_per_week,capital_gain,income
23,Female,Some-college,Sales,37,110,<=50K
42,Male,Bachelors,Craft-repair,45,74,>50K
37,Male,HS-grad,Other-service,58,547,>50K
21,Female,Bachelors,Exec-managerial,47,60,<=50K
43,Male,Masters,Other-service,57,400,>50K
55,Female,Masters,Craft-repair,30,930,<=50K
39,Male,HS-grad,Prof-specialty,56,1346,<=50K
32,Male,HS-grad,Other-service,46,725,>50K
18,Male,HS-grad,Prof-specialty,52,2498,<=50K
28,Male,Bachelors,Craft-repair,43,836,>50K
49,Female,Bachelors,Exec-managerial,48,2069,>50K
19,Male,Doctorate,Prof-specialty,54,525,>50K
42,Male,Some-college,Craft-repair,41,195,<=50K
24,Male,Some-college,Sales,56,200,>50K
22,Female,HS-grad,Other-service,30,1,<=50K
18,Male,Masters,Sales,42,391,>50K
42,Male,Some-college,Prof-specialty,52,945,<=50K
50,Male,Bachelors,Craft-repair,37,320,>50K
30,Male,Masters,Other-service,40,470,>50K
27,Female,Masters,Craft-repair,34,705,>50K
26,Male,Some-college,Craft-repair,45,324,>50K
36,Male,HS-grad,Craft-repair,60,671,>50K
47,Male,HS-grad,Other-service,45,114,<=50K
42,Female,HS-grad,Exec-managerial,43,3883,<=50K
48,Female,Doctorate,Craft-repair,26,876,>50K
37,Female,Masters,Exec-managerial,31,3395,>50K
38,Male,Masters,Other-service,55,325,>50K
22,Female,HS-grad,Other-service,22,81,<=50K
30,Male,Bachelors,Other-service,50,657,>50K
48,Male,Masters,Sales,40,1647,>50K
24,Male,HS-grad,Other-service,35,1413,>50K
37,Female,HS-grad,Other-service,22,140,<=50K
32,Male,Bachelors,Prof-specialty,47,1718,<=50K
65,Male,HS-grad,Sales,32,590,<=50K
29,Female,Bachelors,Other-service,30,80,<=50K
39,Male,Some-college,Craft-repair,57,567,>50K
37,Male,Masters,Craft-repair,53,364,>50K
39,Male,Bachelors,Other-service,48,82,>50K
36,Male,Some-college,Exec-managerial,44,1105,>50K
38,Male,Some-college,Other-service,45,648,>50K
47,Female,Bachelors,Other-service,41,85,>50K
40,Male,Masters,Craft-repair,38,242,<=50K
52,Female,Doctorate,Sales,50,53,>50K
42,Female,Masters,Prof-specialty,37,708,<=50K
18,Male,HS-grad,Prof-specialty,42,370,>50K
49,Male,HS-grad,Sales,38,248,>50K
39,Male,HS-grad,Other-service,53,585,>50K
38,Male,Bachelors,Prof-specialty,46,480,>50K
32,Female,HS-grad,Exec-managerial,30,3396,>50K
41,Male,Bachelors,Exec-managerial,32,2183,<=50K
24,Male,Bachelors,Craft-repair,59,131,<=50K
53,Male,HS-grad,Sales,56,680,>50K
21,Male,Bachelors,Other-service,49,21,<=50K
53,Female,Masters,Other-service,24,179,>50K
42,Female,HS-grad,Prof-specialty,38,6263,>50K
45,Male,Bachelors,Other-service,51,267,<=50K
34,Male,Some-college,Other-service,42,1568,<=50K
29,Male,Bachelors,Prof-specialty,50,910,<=50K
41,Male,HS-grad,Other-service,49,255,>50K
48,Male,Some-college,Other-service,52,776,>50K
27,Male,Bachelors,Sales,52,232,<=50K
48,Male,Some-college,Other-service,33,280,<=50K
32,Male,HS-grad,Craft-repair,40,791,<=50K
29,Male,Bachelors,Prof-specialty,36,50,>50K
35,Male,HS-grad,Sales,52,1237,>50K
52,Male,Some-college,Exec-managerial,37,1019,>50K
32,Male,Doctorate,Exec-managerial,39,452,>50K
38,Male,HS-grad,Prof-specialty,44,3929,>50K
39,Female,HS-grad,Other-service,26,235,<=50K
42,Female,Some-college,Sales,29,12,<=50K
46,Male,Some-college,Prof-specialty,59,1131,>50K
45,Female,Some-college,Sales,26,438,>50K
55,Male,HS-grad,Craft-repair,48,271,<=50K
40,Male,Masters,Other-service,43,3405,>50K
46,Female,Some-college,Other-service,47,84,<=50K
36,Male,Some-college,Sales,58,238,>50K
24,Male,HS-grad,Other-service,54,427,>50K
43,Male,HS-grad,Exec-managerial,38,3421,>50K
43,Male,HS-grad,Other-service,42,1333,<=50K
41,Female,HS-grad,Craft-repair,30,1061,<=50K
29,Male,HS-grad,Exec-managerial,32,409,<=50K
30,Male,Bachelors,Sales,52,26,<=50K
38,Female,HS-grad,Other-service,35,83,>50K
31,Male,Some-college,Prof-specialty,52,2995,<=50K
58,Male,Doctorate,Prof-specialty,50,2448,>50K
45,Female,Some-college,Craft-repair,30,237,<=50K
26,Male,Some-college,Prof-specialty,34,5551,>50K
30,Male,Some-college,Other-service,42,864,<=50K
23,Male,Some-college,Other-service,45,225,>50K
35,Male,Masters,Sales,37,221,>50K
58,Female,Bachelors,Prof-specialty,25,1124,>50K
51,Female,Bachelors,Other-service,49,183,<=50K
30,Male,Some-college,Prof-specialty,57,393,>50K
35,Female,Some-college,Craft-repair,34,20,>50K
41,Male,HS-grad,Other-service,65,1253,<=50K
35,Male,Doctorate,Sales,54,75,>50K
18,Male,HS-grad,Exec-managerial,43,2624,<=50K
29,Male,Bachelors,Other-service,44,124,>50K
54,Male,Bachelors,Other-service,46,293,<=50K
22,Male,HS-grad,Prof-specialty,45,427,>50K
40,Male,Some-college,Prof-specialty,61,1195,>50K
20,Female,Bachelors,Exec-managerial,31,1826,>50K
42,Male,HS-grad,Other-service,46,12,<=50K
36,Male,Masters,Other-service,37,460,>50K
50,Male,Bachelors,Prof-specialty,51,36,>50K
31,Male,Some-college,Other-service,47,1030,<=50K
59,Female,HS-grad,Other-service,41,226,<=50K
47,Female,HS-grad,Prof-specialty,20,7543,<=50K
58,Male,Some-college,Other-service,37,451,<=50K
39,Male,HS-grad,Other-service,42,852,<=50K
39,Female,Bachelors,Exec-managerial,22,480,<=50K
33,Male,Bachelors,Exec-managerial,28,834,>50K
18,Male,HS-grad,Other-service,36,191,<=50K
40,Female,Some-college,Prof-specialty,42,2079,>50K
26,Male,Doctorate,Exec-managerial,46,111,>50K
36,Male,Masters,Other-service,59,1460,>50K
18,Female,Bachelors,Other-service,23,305,<=50K
19,Female,Bachelors,Sales,40,368,>50K
47,Male,Masters,Exec-managerial,47,1550,>50K
33,Male,Some-college,Other-service,42,106,<=50K
26,Male,Bachelors,Craft-repair,34,1338,>50K
41,Male,HS-grad,Exec-managerial,41,1052,>50K
35,Male,HS-grad,Exec-managerial,48,3,>50K
46,Female,Doctorate,Other-service,38,539,>50K
46,Male,HS-grad,Exec-managerial,56,5201,>50K
53,Male,Bachelors,Other-service,39,2396,<=50K
39,Male,Bachelors,Other-service,51,416,>50K
51,Female,Some-college,Exec-managerial,39,2214,>50K
45,Male,Masters,Other-service,47,948,>50K
53,Female,Bachelors,Prof-specialty,27,262,>50K
38,Male,Bachelors,Prof-specialty,49,1046,>50K
44,Female,HS-grad,Craft-repair,35,346,<=50K
18,Male,Some-college,Craft-repair,39,3959,<=50K
41,Male,HS-grad,Other-service,36,1183,>50K
25,Female,Masters,Sales,37,248,<=50K
36,Male,HS-grad,Other-service,43,1285,<=50K
60,Male,Some-college,Sales,53,274,>50K
18,Male,Bachelors,Other-service,43,2379,>50K
37,Male,Masters,Prof-specialty,38,4241,>50K
41,Female,Masters,Sales,28,120,<=50K
21,Male,HS-grad,Other-service,56,619,>50K
45,Male,Bachelors,Other-service,39,123,<=50K
58,Female,Bachelors,Prof-specialty,18,1092,<=50K
19,Male,Masters,Exec-managerial,41,4348,>50K
41,Female,HS-grad,Other-service,33,206,<=50K
39,Male,Masters,Sales,49,200,>50K
51,Male,Some-college,Prof-specialty,50,1090,>50K
43,Male,Masters,Sales,39,456,>50K
26,Male,HS-grad,Sales,46,1352,<=50K
30,Male,HS-grad,Other-service,55,1399,>50K
49,Male,Bachelors,Sales,50,1241,<=50K
44,Female,Bachelors,Prof-specialty,23,2173,>50K
18,Male,HS-grad,Exec-managerial,28,749,>50K
23,Male,Some-college,Other-service,40,448,>50K
50,Male,Some-college,Exec-managerial,37,1149,>50K
31,Male,Bachelors,Other-service,55,263,>50K
28,Female,Some-college,Sales,40,91,<=50K
29,Male,HS-grad,Exec-managerial,44,9286,>50K
30,Male,Bachelors,Craft-repair,30,503,<=50K
36,Female,Bachelors,Prof-specialty,28,8036,>50K
48,Male,Doctorate,Prof-specialty,44,1626,>50K
26,Female,HS-grad,Craft-repair,35,122,<=50K
48,Male,HS-grad,Craft-repair,56,787,>50K
41,Female,HS-grad,Craft-repair,29,210,<=50K
43,Female,HS-grad,Other-service,31,497,>50K
18,Female,HS-grad,Prof-specialty,30,538,<=50K
37,Female,Bachelors,Prof-specialty,44,387,>50K
29,Male,Doctorate,Craft-repair,47,383,>50K
26,Male,HS-grad,Other-service,44,194,<=50K
38,Male,HS-grad,Other-service,39,69,<=50K
37,Male,Masters,Exec-managerial,42,4783,>50K
30,Female,HS-grad,Exec-managerial,42,549,<=50K
30,Male,Some-college,Craft-repair,54,730,>50K
31,Male,Some-college,Sales,48,1154,<=50K
51,Female,Bachelors,Other-service,40,143,<=50K
45,Female,Some-college,Other-service,16,1603,<=50K
32,Male,Bachelors,Prof-specialty,51,1440,>50K
63,Male,Doctorate,Prof-specialty,45,624,>50K
42,Male,HS-grad,Other-service,38,214,<=50K
47,Female,Masters,Other-service,30,103,<=50K
37,Female,Doctorate,Craft-repair,42,79,>50K
32,Male,HS-grad,Other-service,47,629,<=50K
18,Male,HS-grad,Sales,48,3,>50K
43,Male,Masters,Other-service,55,121,>50K
47,Male,HS-grad,Other-service,42,571,<=50K
33,Male,Some-college,Other-service,42,11628,>50K
47,Female,Bachelors,Craft-repair,24,308,<=50K
21,Female,HS-grad,Other-service,4,276,<=50K
49,Male,HS-grad,Other-service,58,127,<=50K
24,Male,Bachelors,Sales,47,2204,>50K
30,Female,Masters,Prof-specialty,35,3833,>50K
62,Female,Bachelors,Other-service,36,194,<=50K
40,Female,Some-college,Other-service,34,500,<=50K
29,Male,HS-grad,Other-service,51,1311,<=50K
47,Female,Some-college,Sales,39,345,<=50K
42,Female,Masters,Exec-managerial,34,1671,>50K
43,Male,HS-grad,Exec-managerial,46,4036,>50K
48,Male,HS-grad,Craft-repair,44,175,>50K
37,Female,Bachelors,Craft-repair,30,512,<=50K
30,Female,Some-college,Other-service,30,50,<=50K
32,Male,Bachelors,Other-service,40,63,>50K
21,Male,HS-grad,Prof-specialty,43,59,>50K
40,Male,Bachelors,Other-service,59,416,>50K
18,Female,HS-grad,Craft-repair,36,111,<=50K
44,Male,HS-grad,Craft-repair,43,207,<=50K
35,Male,Bachelors,Other-service,52,297,<=50K
48,Male,Some-college,Other-service,50,324,>50K
59,Male,HS-grad,Other-service,46,91,>50K
38,Male,Doctorate,Prof-specialty,47,1873,>50K
39,Female,HS-grad,Other-service,50,1160,>50K
18,Male,Masters,Other-service,66,97,>50K
22,Female,Bachelors,Other-service,35,318,>50K
39,Male,HS-grad,Craft-repair,45,5374,>50K
62,Female,Bachelors,Other-service,39,540,>50K
38,Male,HS-grad,Exec-managerial,38,3041,>50K
46,Male,Some-college,Exec-managerial,48,1557,<=50K
31,Male,Bachelors,Prof-specialty,58,4650,>50K
58,Female,HS-grad,Other-service,47,186,<=50K
38,Male,Some-college,Other-service,43,1144,<=50K
38,Male,HS-grad,Sales,55,125,<=50K
41,Male,HS-grad,Other-service,46,38,>50K
54,Male,Masters,Sales,44,745,>50K
37,Female,HS-grad,Other-service,18,545,<=50K
36,Male,HS-grad,Craft-repair,43,426,<=50K
25,Male,Some-college,Prof-specialty,48,3833,<=50K
24,Female,Bachelors,Other-service,30,228,<=50K
36,Male,Some-college,Prof-specialty,45,56,>50K
53,Male,HS-grad,Craft-repair,58,104,>50K
41,Male,Bachelors,Other-service,60,917,>50K
39,Male,HS-grad,Other-service,38,710,<=50K
46,Male,Masters,Prof-specialty,39,1988,>50K
41,Male,Bachelors,Other-service,38,228,>50K
45,Male,HS-grad,Prof-specialty,43,313,>50K
43,Female,Doctorate,Exec-managerial,26,5476,>50K
51,Male,Some-college,Craft-repair,32,561,>50K
36,Male,Bachelors,Exec-managerial,25,200,>50K
27,Male,HS-grad,Exec-managerial,37,216,>50K
37,Male,Masters,Prof-specialty,51,4495,>50K
42,Male,Some-college,Exec-managerial,54,810,>50K
38,Male,Bachelors,Exec-managerial,64,1352,>50K
20,Male,Bachelors,Craft-repair,47,844,<=50K
47,Female,Doctorate,Exec-managerial,33,916,<=50K
29,Male,Masters,Other-service,49,69,>50K
53,Female,Some-college,Craft-repair,23,479,<=50K
30,Female,Some-college,Exec-managerial,38,146,<=50K
45,Female,Some-college,Prof-specialty,41,1278,>50K
65,Male,HS-grad,Prof-specialty,46,845,>50K
22,Male,Bachelors,Prof-specialty,45,644,>50K
39,Male,Bachelors,Craft-repair,52,1251,>50K
35,Female,Some-college,Craft-repair,35,265,>50K
49,Female,Bachelors,Prof-specialty,30,902,<=50K
47,Male,HS-grad,Sales,51,201,>50K
54,Male,Bachelors,Other-service,54,456,>50K
54,Male,Some-college,Other-service,45,419,<=50K
58,Male,Some-college,Sales,44,63,<=50K
44,Male,Bachelors,Craft-repair,40,270,>50K
41,Male,Masters,Prof-specialty,42,8808,>50K
44,Male,Masters,Sales,49,21,>50K
32,Male,Some-college,Other-service,34,114,<=50K
45,Male,HS-grad,Craft-repair,44,619,>50K
55,Male,HS-grad,Sales,39,4538,>50K
52,Male,Masters,Other-service,47,688,>50K
19,Male,Bachelors,Sales,59,1487,>50K
45,Male,HS-grad,Prof-specialty,48,5038,>50K
25,Female,Some-college,Craft-repair,41,148,<=50K
23,Male,HS-grad,Exec-managerial,44,2981,<=50K
36,Male,Some-college,Other-service,33,2562,>50K
47,Male,Bachelors,Prof-specialty,50,1202,>50K
34,Male,HS-grad,Prof-specialty,35,3299,>50K
18,Female,Bachelors,Craft-repair,41,80,>50K
24,Male,Bachelors,Exec-managerial,38,4337,>50K
36,Male,HS-grad,Other-service,36,623,>50K
48,Male,Some-college,Other-service,45,1640,>50K
48,Male,Masters,Craft-repair,39,1010,>50K
44,Male,HS-grad,Other-service,46,729,>50K
53,Male,HS-grad,Sales,51,402,>50K
64,Male,Some-college,Other-service,56,980,>50K
51,Female,Bachelors,Craft-repair,31,1721,<=50K
40,Female,Bachelors,Craft-repair,29,550,<=50K
60,Female,Bachelors,Sales,36,268,<=50K
27,Female,HS-grad,Prof-specialty,27,3193,<=50K
18,Male,Some-college,Prof-specialty,46,4852,>50K
50,Male,Bachelors,Exec-managerial,45,146,<=50K
47,Female,Masters,Craft-repair,39,270,<=50K
36,Female,Doctorate,Prof-specialty,41,1525,>50K
18,Female,HS-grad,Craft-repair,28,310,<=50K
42,Male,HS-grad,Other-service,42,365,>50K
19,Male,Masters,Other-service,44,2255,>50K
21,Female,Bachelors,Exec-managerial,49,10690,>50K
34,Female,Some-college,Exec-managerial,28,329,>50K
56,Female,Doctorate,Other-service,40,440,<=50K
40,Female,HS-grad,Exec-managerial,38,688,>50K
57,Male,HS-grad,Other-service,57,611,>50K
40,Male,Bachelors,Craft-repair,58,887,<=50K
25,Male,Bachelors,Craft-repair,48,2176,>50K
25,Female,HS-grad,Exec-managerial,33,497,<=50K
51,Male,Masters,Prof-specialty,59,1973,>50K
44,Female,HS-grad,Craft-repair,25,346,<=50K
43,Male,Masters,Exec-managerial,54,915,>50K
32,Female,HS-grad,Prof-specialty,32,1760,<=50K
26,Male,Masters,Other-service,53,449,>50K
33,Male,Some-college,Craft-repair,44,287,<=50K
34,Male,Bachelors,Other-service,39,400,>50K
62,Female,Bachelors,Sales,51,672,>50K
55,Male,HS-grad,Exec-managerial,40,1998,>50K
18,Male,Some-college,Other-service,60,342,<=50K
37,Female,Masters,Sales,32,297,>50K
55,Male,Bachelors,Exec-managerial,52,3012,>50K
45,Male,Some-college,Sales,54,529,>50K
53,Female,Some-college,Other-service,32,1220,<=50K
18,Female,Bachelors,Other-service,37,58,<=50K
31,Male,HS-grad,Exec-managerial,40,470,<=50K
49,Male,Masters,Other-service,53,1381,>50K
45,Female,Bachelors,Other-service,35,88,<=50K
52,Male,Some-college,Other-service,39,344,>50K
49,Male,Masters,Craft-repair,44,446,>50K
50,Male,Some-college,Exec-managerial,55,1809,>50K
32,Male,HS-grad,Prof-specialty,26,1678,>50K
18,Female,Doctorate,Craft-repair,41,260,<=50K
37,Male,Bachelors,Other-service,35,2622,>50K
35,Male,Masters,Exec-managerial,49,1325,>50K
30,Male,HS-grad,Other-service,43,513,<=50K
39,Female,Doctorate,Sales,39,477,<=50K
28,Male,HS-grad,Prof-specialty,44,410,<=50K
49,Male,Some-college,Sales,49,195,>50K
31,Female,Some-college,Exec-managerial,34,2859,<=50K
49,Male,Some-college,Craft-repair,34,1086,<=50K
27,Female,Bachelors,Craft-repair,28,362,<=50K
38,Male,Bachelors,Craft-repair,50,103,<=50K
42,Male,Bachelors,Other-service,37,2186,>50K
27,Female,Masters,Other-service,21,204,<=50K
27,Male,HS-grad,Other-service,57,119,>50K
32,Male,Bachelors,Craft-repair,51,788,>50K
55,Female,Doctorate,Exec-managerial,35,1077,<=50K
41,Female,Some-college,Exec-managerial,41,133,>50K
21,Female,HS-grad,Prof-specialty,35,3581,<=50K
47,Male,Bachelors,Craft-repair,41,570,>50K
42,Male,Some-college,Exec-managerial,35,2148,>50K
35,Male,HS-grad,Craft-repair,42,468,<=50K
51,Female,Bachelors,Sales,31,515,<=50K
31,Male,HS-grad,Other-service,43,3063,>50K
35,Male,HS-grad,Craft-repair,53,532,<=50K
45,Female,Masters,Exec-managerial,35,817,<=50K
55,Male,HS-grad,Prof-specialty,47,1014,>50K
38,Female,Bachelors,Prof-specialty,37,3642,>50K
45,Male,HS-grad,Prof-specialty,51,5499,<=50K
30,Male,Bachelors,Sales,52,20,<=50K
54,Female,Masters,Prof-specialty,35,2091,>50K
45,Male,Bachelors,Other-service,48,1665,>50K
44,Male,Some-college,Prof-specialty,56,2743,>50K
22,Male,HS-grad,Other-service,45,676,>50K
21,Female,Doctorate,Other-service,39,248,<=50K
25,Male,HS-grad,Exec-managerial,41,3150,>50K
18,Male,HS-grad,Other-service,55,229,>50K
18,Male,Masters,Other-service,41,54,<=50K
25,Female,Masters,Other-service,48,986,<=50K
18,Female,Some-college,Prof-specialty,29,387,<=50K
37,Male,HS-grad,Exec-managerial,37,5376,>50K
53,Male,HS-grad,Prof-specialty,56,6107,>50K
38,Male,Some-college,Sales,48,939,>50K
37,Male,Some-college,Other-service,56,192,>50K
32,Male,HS-grad,Sales,46,329,<=50K
58,Male,Masters,Craft-repair,34,44,>50K
40,Female,Bachelors,Other-service,43,161,<=50K
37,Female,Some-college,Sales,45,436,<=50K
44,Female,HS-grad,Craft-repair,38,65,<=50K
56,Female,Bachelors,Other-service,37,160,>50K
43,Male,Some-college,Other-service,40,361,>50K
53,Male,Some-college,Craft-repair,37,336,>50K
35,Female,Bachelors,Exec-managerial,26,200,>50K
29,Female,Some-college,Craft-repair,23,932,<=50K
18,Female,Masters,Other-service,40,885,<=50K
60,Male,Some-college,Craft-repair,47,637,<=50K
29,Female,Some-college,Other-service,38,317,<=50K
38,Male,HS-grad,Other-service,43,529,>50K
36,Female,Masters,Other-service,34,220,<=50K
37,Male,Some-college,Prof-specialty,41,980,<=50K
33,Male,Bachelors,Other-service,61,3207,>50K
44,Male,Masters,Prof-specialty,43,1702,>50K
57,Male,Masters,Other-service,39,185,>50K
49,Female,Doctorate,Craft-repair,41,903,>50K
34,Male,Masters,Prof-specialty,42,594,>50K
27,Male,Masters,Other-service,37,210,>50K
22,Female,Bachelors,Other-service,39,190,<=50K
29,Female,Bachelors,Prof-specialty,27,239,<=50K
39,Male,Some-college,Prof-specialty,51,726,>50K
42,Female,Masters,Sales,37,142,>50K
22,Female,Some-college,Sales,37,380,<=50K
32,Male,Doctorate,Craft-repair,59,42,<=50K
45,Female,Bachelors,Other-service,36,391,>50K
49,Male,HS-grad,Exec-managerial,53,1105,>50K
45,Male,Some-college,Other-service,46,637,<=50K
18,Male,Masters,Sales,56,96,>50K
25,Male,Bachelors,Other-service,47,496,>50K
28,Female,Bachelors,Other-service,25,167,<=50K
40,Male,HS-grad,Exec-managerial,33,8242,>50K
59,Male,Some-college,Other-service,45,79,<=50K
45,Male,Bachelors,Other-service,46,718,>50K
42,Male,HS-grad,Exec-managerial,57,1011,>50K
25,Male,Some-college,Other-service,42,961,<=50K
61,Male,Masters,Other-service,47,1055,>50K
41,Female,HS-grad,Prof-specialty,28,1445,<=50K
57,Female,Some-college,Other-service,51,21,<=50K
41,Male,Some-college,Prof-specialty,43,3996,>50K
37,Male,Bachelors,Prof-specialty,45,437,>50K
37,Female,Some-college,Other-service,24,67,>50K
30,Male,Doctorate,Craft-repair,56,3443,>50K
49,Male,Some-college,Craft-repair,36,2740,<=50K
49,Male,Bachelors,Prof-specialty,46,1303,>50K
47,Female,Bachelors,Sales,35,964,<=50K
29,Female,HS-grad,Other-service,32,302,<=50K
50,Male,HS-grad,Prof-specialty,46,555,>50K
36,Male,Bachelors,Prof-specialty,54,269,>50K
44,Male,Bachelors,Other-service,57,1675,>50K
20,Male,Bachelors,Craft-repair,54,126,<=50K
21,Male,Bachelors,Sales,51,93,<=50K
57,Male,HS-grad,Exec-managerial,57,848,>50K
34,Male,Some-college,Other-service,46,1336,>50K
43,Male,Bachelors,Sales,42,291,>50K
34,Male,HS-grad,Craft-repair,55,5806,<=50K
50,Female,HS-grad,Prof-specialty,24,684,<=50K
46,Male,Masters,Other-service,33,560,<=50K
47,Male,Bachelors,Craft-repair,50,307,<=50K
26,Male,HS-grad,Other-service,60,325,<=50K
28,Male,HS-grad,Prof-specialty,40,494,>50K
23,Female,Bachelors,Exec-managerial,34,746,<=50K
37,Male,Bachelors,Other-service,35,186,<=50K
18,Male,Doctorate,Other-service,46,104,>50K
31,Female,HS-grad,Prof-specialty,27,166,<=50K
41,Female,Masters,Exec-managerial,39,2276,>50K
49,Male,HS-grad,Craft-repair,43,548,>50K
26,Male,HS-grad,Craft-repair,41,36,<=50K
61,Male,Some-college,Exec-managerial,61,1144,>50K
44,Female,Masters,Exec-managerial,29,1711,>50K
51,Female,Some-college,Sales,25,73,<=50K
24,Male,Bachelors,Prof-specialty,44,1292,>50K
38,Male,Bachelors,Other-service,52,151,>50K
48,Female,Bachelors,Exec-managerial,51,4193,>50K
35,Male,Some-college,Sales,48,426,>50K
23,Male,Some-college,Other-service,36,1210,>50K
34,Female,Bachelors,Prof-specialty,30,5825,>50K
65,Male,Masters,Craft-repair,43,963,>50K
38,Male,HS-grad,Craft-repair,60,141,>50K
40,Male,HS-grad,Craft-repair,50,4,<=50K
25,Male,Some-college,Exec-managerial,49,282,>50K
24,Male,Bachelors,Other-service,36,5799,>50K
37,Male,Some-college,Other-service,57,465,<=50K
25,Female,Doctorate,Craft-repair,31,181,<=50K
33,Male,HS-grad,Prof-specialty,52,1931,>50K
52,Female,HS-grad,Other-service,35,210,<=50K
28,Male,Masters,Exec-managerial,38,1506,>50K
39,Male,HS-grad,Craft-repair,38,110,>50K
65,Male,Masters,Other-service,45,93,>50K
55,Male,Bachelors,Other-service,50,443,>50K
18,Male,HS-grad,Prof-specialty,57,1303,>50K
53,Male,Bachelors,Prof-specialty,47,302,>50K
33,Male,HS-grad,Craft-repair,42,96,<=50K
26,Male,Masters,Craft-repair,40,798,>50K
39,Female,Doctorate,Other-service,36,1487,>50K
18,Male,HS-grad,Craft-repair,45,48,<=50K
44,Female,Masters,Other-service,34,459,>50K
45,Female,Doctorate,Craft-repair,38,705,<=50K
38,Male,Some-college,Exec-managerial,52,1334,<=50K
55,Female,Masters,Prof-specialty,38,770,>50K
42,Female,HS-grad,Craft-repair,42,1993,<=50K
18,Female,Some-college,Sales,43,656,<=50K
21,Female,Masters,Other-service,27,239,<=50K
38,Male,Some-college,Craft-repair,41,1048,>50K
44,Male,HS-grad,Craft-repair,42,205,>50K
51,Male,HS-grad,Other-service,39,109,>50K
51,Female,Some-college,Exec-managerial,38,3312,<=50K
63,Male,Bachelors,Other-service,52,2670,>50K
18,Male,Doctorate,Craft-repair,42,1105,>50K
27,Female,Doctorate,Prof-specialty,38,1783,>50K
45,Male,Some-college,Other-service,57,106,<=50K
25,Female,HS-grad,Other-service,28,577,<=50K
40,Male,Masters,Other-service,40,178,>50K
29,Male,Bachelors,Exec-managerial,43,163,>50K
61,Female,HS-grad,Sales,29,64,<=50K
41,Male,Bachelors,Craft-repair,40,1177,>50K
37,Male,HS-grad,Craft-repair,41,409,>50K
47,Male,Bachelors,Exec-managerial,58,7832,>50K
46,Female,Some-college,Other-service,38,281,<=50K
46,Female,HS-grad,Prof-specialty,42,2087,>50K
25,Male,HS-grad,Exec-managerial,50,4042,>50K
28,Male,HS-grad,Sales,39,38,<=50K
33,Male,Bachelors,Craft-repair,36,1766,>50K
54,Female,HS-grad,Exec-managerial,20,4380,<=50K
50,Male,Masters,Other-service,29,441,>50K
31,Male,Bachelors,Prof-specialty,32,3111,>50K
35,Male,HS-grad,Craft-repair,48,105,>50K
32,Female,HS-grad,Other-service,35,367,<=50K
52,Male,Bachelors,Other-service,44,357,>50K
41,Female,HS-grad,Prof-specialty,33,1091,<=50K
43,Male,Some-college,Sales,43,445,<=50K
46,Male,HS-grad,Exec-managerial,37,922,>50K
31,Female,HS-grad,Sales,41,234,<=50K
42,Male,HS-grad,Other-service,46,632,<=50K
35,Male,Some-college,Exec-managerial,48,288,>50K
18,Male,HS-grad,Craft-repair,35,214,>50K
31,Female,HS-grad,Other-service,23,298,<=50K
29,Female,HS-grad,Exec-managerial,40,1214,<=50K
35,Male,HS-grad,Other-service,50,95,<=50K
42,Male,Masters,Craft-repair,53,197,>50K
62,Female,Bachelors,Exec-managerial,32,2231,>50K
36,Male,Masters,Other-service,34,196,>50K
60,Male,Bachelors,Craft-repair,45,813,>50K
27,Female,Bachelors,Craft-repair,43,23,<=50K
42,Female,Bachelors,Prof-specialty,38,2826,<=50K
49,Male,HS-grad,Other-service,46,108,<=50K
26,Male,HS-grad,Sales,31,597,<=50K
23,Female,Masters,Craft-repair,36,183,>50K
59,Male,Masters,Sales,50,21,>50K
18,Female,Some-college,Other-service,30,108,<=50K
21,Male,Bachelors,Other-service,44,327,>50K
24,Female,Doctorate,Other-service,26,264,<=50K
21,Female,HS-grad,Other-service,31,450,<=50K
44,Female,Some-college,Craft-repair,31,546,<=50K
44,Male,Bachelors,Craft-repair,41,209,>50K
37,Male,Some-college,Other-service,40,243,<=50K
45,Male,Bachelors,Prof-specialty,36,3779,<=50K
22,Female,Bachelors,Exec-managerial,35,2092,<=50K
25,Male,Bachelors,Exec-managerial,39,632,>50K
19,Male,HS-grad,Exec-managerial,60,1357,>50K
36,Male,Bachelors,Exec-managerial,35,3446,<=50K
35,Male,HS-grad,Prof-specialty,38,2729,>50K
37,Male,Bachelors,Exec-managerial,45,812,>50K
34,Female,Some-college,Prof-specialty,30,1179,>50K
30,Male,Bachelors,Prof-specialty,45,9817,>50K
52,Female,HS-grad,Craft-repair,11,1012,<=50K
54,Female,Some-college,Sales,18,267,<=50K
34,Female,Bachelors,Prof-specialty,38,311,>50K
53,Male,Bachelors,Other-service,45,641,>50K
36,Female,HS-grad,Exec-managerial,29,4286,>50K
49,Male,HS-grad,Craft-repair,44,266,>50K
29,Male,Bachelors,Sales,49,33,<=50K
53,Female,HS-grad,Craft-repair,36,64,<=50K
49,Male,HS-grad,Craft-repair,45,80,<=50K
60,Male,Bachelors,Prof-specialty,37,556,>50K
23,Male,HS-grad,Exec-managerial,64,739,>50K
34,Male,Some-college,Sales,35,1180,>50K
43,Male,Bachelors,Other-service,38,364,>50K
41,Male,Masters,Exec-managerial,31,2016,>50K
43,Female,Bachelors,Other-service,28,1735,>50K
43,Male,Some-college,Sales,30,313,>50K
38,Female,Some-college,Sales,26,581,<=50K
24,Male,HS-grad,Prof-specialty,48,3120,>50K
