age,age_group,credit_amount,duration,purpose,savings,employment,credit_risk
31,Middle-aged+,1059,36,furniture,quite rich,1-4yr,good
58,Middle-aged+,2361,48,other,little,4-7yr,good
58,Middle-aged+,2449,36,car,quite rich,<1yr,bad
51,Middle-aged+,2121,48,car,moderate,<1yr,good
30,Middle-aged+,1113,12,furniture,quite rich,4-7yr,good
36,Middle-aged+,6958,12,repairs,little,4-7yr,good
30,Middle-aged+,500,60,repairs,quite rich,<1yr,good
18,Young,1291,24,repairs,moderate,>7yr,bad
40,Middle-aged+,1518,6,car,moderate,4-7yr,good
40,Middle-aged+,3807,60,furniture,rich,1-4yr,good
41,Middle-aged+,6764,6,repairs,moderate,1-4yr,good
33,Middle-aged+,1857,24,other,little,>7yr,good
31,Middle-aged+,870,60,other,rich,1-4yr,good
26,Young,1970,24,car,quite rich,4-7yr,good
28,Young,1749,48,furniture,moderate,1-4yr,bad
28,Young,1472,24,other,rich,4-7yr,good
20,Young,1184,24,repairs,rich,4-7yr,good
50,Middle-aged+,500,36,furniture,little,1-4yr,good
58,Middle-aged+,6416,60,other,moderate,1-4yr,bad
51,Middle-aged+,10553,48,car,little,4-7yr,bad
38,Middle-aged+,970,24,furniture,little,4-7yr,bad
18,Young,906,36,repairs,little,>7yr,bad
30,Middle-aged+,1177,24,education,moderate,1-4yr,good
37,Middle-aged+,1831,36,car,quite rich,1-4yr,bad
32,Middle-aged+,11216,60,other,moderate,<1yr,good
34,Middle-aged+,2863,6,car,little,4-7yr,bad
30,Middle-aged+,2386,60,other,rich,4-7yr,good
42,Middle-aged+,500,24,car,little,unemployed,bad
47,Middle-aged+,3480,36,other,rich,>7yr,good
29,Young,1916,6,education,moderate,4-7yr,bad
65,Middle-aged+,2567,24,repairs,quite rich,>7yr,good
51,Middle-aged+,2158,12,repairs,little,4-7yr,good
47,Middle-aged+,16233,36,car,little,4-7yr,bad
48,Middle-aged+,880,24,furniture,moderate,1-4yr,good
23,Young,11357,24,other,moderate,4-7yr,good
45,Middle-aged+,875,36,education,rich,<1yr,good
35,Middle-aged+,13689,24,education,little,4-7yr,bad
34,Middle-aged+,1044,36,education,moderate,4-7yr,bad
44,Middle-aged+,500,24,education,little,1-4yr,good
37,Middle-aged+,1810,12,car,moderate,1-4yr,good
59,Middle-aged+,7991,36,other,quite rich,4-7yr,good
61,Middle-aged+,1936,12,education,quite rich,unemployed,good
58,Middle-aged+,10440,6,furniture,moderate,1-4yr,good
32,Middle-aged+,994,60,other,moderate,<1yr,bad
56,Middle-aged+,1089,12,furniture,quite rich,>7yr,good
39,Middle-aged+,11018,60,car,moderate,<1yr,bad
49,Middle-aged+,4565,24,other,moderate,4-7yr,good
32,Middle-aged+,2167,36,education,little,>7yr,good
63,Middle-aged+,500,24,other,little,>7yr,good
52,Middle-aged+,4698,36,car,little,>7yr,bad
30,Middle-aged+,1101,12,other,rich,<1yr,good
55,Middle-aged+,9821,60,car,rich,>7yr,good
31,Middle-aged+,625,12,furniture,rich,4-7yr,bad
31,Middle-aged+,500,12,furniture,quite rich,1-4yr,good
49,Middle-aged+,9602,24,furniture,little,1-4yr,good
23,Young,1118,24,education,rich,<1yr,bad
29,Young,873,36,repairs,rich,>7yr,good
38,Middle-aged+,1096,24,repairs,quite rich,unemployed,bad
37,Middle-aged+,3773,48,other,rich,1-4yr,good
63,Middle-aged+,2769,24,car,little,unemployed,bad
37,Middle-aged+,612,36,repairs,moderate,4-7yr,good
54,Middle-aged+,10305,12,other,little,1-4yr,good
24,Young,6407,36,furniture,quite rich,1-4yr,bad
34,Middle-aged+,7985,48,car,little,1-4yr,bad
55,Middle-aged+,4410,12,repairs,little,1-4yr,good
18,Young,2981,24,furniture,moderate,1-4yr,good
45,Middle-aged+,2093,6,car,moderate,>7yr,good
27,Young,11752,6,repairs,little,1-4yr,good
19,Young,4881,24,car,quite rich,4-7yr,bad
18,Young,2084,48,car,little,4-7yr,bad
40,Middle-aged+,11506,24,other,little,>7yr,good
18,Young,2696,36,furniture,quite rich,<1yr,good
32,Middle-aged+,1636,48,repairs,moderate,1-4yr,good
58,Middle-aged+,557,36,car,little,4-7yr,bad
51,Middle-aged+,3282,36,repairs,moderate,4-7yr,good
41,Middle-aged+,5801,60,other,quite rich,4-7yr,good
35,Middle-aged+,1425,24,education,rich,1-4yr,good
37,Middle-aged+,3854,24,furniture,little,>7yr,good
51,Middle-aged+,4813,36,car,rich,<1yr,good
25,Young,18640,36,other,moderate,>7yr,good
67,Middle-aged+,1455,24,car,quite rich,4-7yr,good
44,Middle-aged+,6274,48,car,quite rich,>7yr,good
31,Middle-aged+,500,12,other,quite rich,4-7yr,good
24,Young,756,24,other,moderate,1-4yr,bad
51,Middle-aged+,744,24,furniture,little,1-4yr,good
39,Middle-aged+,742,48,furniture,moderate,>7yr,good
31,Middle-aged+,614,24,furniture,moderate,1-4yr,good
18,Young,5962,48,furniture,moderate,<1yr,bad
61,Middle-aged+,4258,24,education,rich,1-4yr,good
55,Middle-aged+,1433,12,car,quite rich,1-4yr,good
43,Middle-aged+,882,12,other,moderate,4-7yr,good
20,Young,11048,48,education,quite rich,1-4yr,bad
45,Middle-aged+,1150,48,furniture,moderate,unemployed,bad
47,Middle-aged+,2193,24,furniture,little,4-7yr,good
32,Middle-aged+,2688,12,repairs,moderate,1-4yr,good
46,Middle-aged+,3379,60,education,little,unemployed,bad
43,Middle-aged+,2433,12,furniture,quite rich,1-4yr,good
49,Middle-aged+,1659,60,repairs,moderate,<1yr,good
48,Middle-aged+,7671,24,furniture,quite rich,unemployed,good
18,Young,7486,24,other,quite rich,1-4yr,good
28,Young,12502,24,furniture,little,4-7yr,bad
21,Young,500,48,furniture,moderate,>7yr,good
49,Middle-aged+,500,12,car,quite rich,unemployed,good
22,Young,10680,24,other,little,<1yr,bad
26,Young,6803,60,furniture,moderate,>7yr,bad
34,Middle-aged+,1834,6,education,moderate,4-7yr,good
25,Young,500,24,other,moderate,1-4yr,good
29,Young,559,60,other,rich,1-4yr,good
61,Middle-aged+,1814,48,other,little,<1yr,bad
25,Young,3759,36,other,moderate,4-7yr,bad
42,Middle-aged+,6400,6,other,little,4-7yr,good
33,Middle-aged+,13779,24,repairs,moderate,unemployed,good
62,Middle-aged+,1737,12,education,rich,4-7yr,good
59,Middle-aged+,13004,24,furniture,moderate,>7yr,good
53,Middle-aged+,9960,12,other,little,1-4yr,good
24,Young,4610,24,education,moderate,1-4yr,good
32,Middle-aged+,1508,60,other,quite rich,4-7yr,good
31,Middle-aged+,970,6,education,little,1-4yr,good
18,Young,2851,48,car,little,<1yr,bad
49,Middle-aged+,9652,36,education,little,>7yr,bad
40,Middle-aged+,899,12,other,moderate,1-4yr,good
48,Middle-aged+,16098,24,repairs,little,4-7yr,good
45,Middle-aged+,3679,48,education,little,1-4yr,bad
31,Middle-aged+,2490,24,car,moderate,4-7yr,good
18,Young,1219,24,furniture,quite rich,1-4yr,good
31,Middle-aged+,500,36,repairs,little,unemployed,bad
37,Middle-aged+,1090,60,car,rich,4-7yr,bad
22,Young,1768,12,education,moderate,4-7yr,good
22,Young,1363,24,other,quite rich,1-4yr,good
65,Middle-aged+,2975,6,car,rich,4-7yr,good
58,Middle-aged+,3857,6,furniture,moderate,<1yr,good
38,Middle-aged+,1743,24,furniture,little,>7yr,good
71,Middle-aged+,500,12,repairs,little,<1yr,bad
52,Middle-aged+,3073,24,education,quite rich,4-7yr,bad
33,Middle-aged+,500,24,other,little,>7yr,bad
34,Middle-aged+,10975,12,education,little,1-4yr,good
38,Middle-aged+,3426,60,repairs,quite rich,1-4yr,good
37,Middle-aged+,5436,36,repairs,little,>7yr,bad
64,Middle-aged+,2043,48,car,little,<1yr,good
34,Middle-aged+,6046,24,furniture,little,4-7yr,bad
38,Middle-aged+,1616,36,repairs,rich,1-4yr,good
23,Young,500,60,repairs,rich,<1yr,good
46,Middle-aged+,1354,60,repairs,moderate,4-7yr,bad
40,Middle-aged+,1566,36,repairs,rich,1-4yr,good
51,Middle-aged+,500,24,furniture,little,4-7yr,good
18,Young,642,12,furniture,moderate,>7yr,good
22,Young,500,24,education,moderate,4-7yr,bad
32,Middle-aged+,1257,48,car,moderate,1-4yr,good
18,Young,1638,48,car,moderate,>7yr,bad
18,Young,960,24,other,little,unemployed,bad
20,Young,2790,24,repairs,moderate,unemployed,bad
53,Middle-aged+,12080,24,car,moderate,4-7yr,good
38,Middle-aged+,1010,36,furniture,little,unemployed,bad
61,Middle-aged+,5181,60,repairs,moderate,4-7yr,bad
19,Young,4101,36,education,little,<1yr,bad
49,Middle-aged+,966,36,other,rich,1-4yr,good
39,Middle-aged+,776,36,car,little,>7yr,good
32,Middle-aged+,1233,24,other,rich,1-4yr,good
18,Young,500,48,car,rich,>7yr,bad
30,Middle-aged+,870,36,car,moderate,unemployed,good
42,Middle-aged+,10592,24,furniture,little,<1yr,bad
45,Middle-aged+,3192,36,other,little,unemployed,good
57,Middle-aged+,500,12,furniture,moderate,4-7yr,good
25,Young,15644,24,education,little,>7yr,good
46,Middle-aged+,5344,6,repairs,little,4-7yr,good
47,Middle-aged+,1278,24,education,moderate,1-4yr,good
41,Middle-aged+,600,36,furniture,moderate,4-7yr,bad
26,Young,7500,12,furniture,moderate,1-4yr,bad
44,Middle-aged+,2865,12,repairs,little,1-4yr,good
41,Middle-aged+,5432,36,other,moderate,1-4yr,good
27,Young,2063,60,car,moderate,4-7yr,bad
20,Young,3578,24,car,little,4-7yr,good
43,Middle-aged+,2570,60,education,moderate,1-4yr,bad
33,Middle-aged+,500,36,repairs,little,1-4yr,bad
51,Middle-aged+,500,36,education,moderate,4-7yr,bad
34,Middle-aged+,4148,12,other,moderate,1-4yr,bad
24,Young,3149,24,furniture,rich,<1yr,good
28,Young,3724,60,car,rich,4-7yr,good
55,Middle-aged+,3902,6,other,moderate,1-4yr,good
26,Young,1774,36,car,rich,<1yr,bad
18,Young,5517,12,other,moderate,<1yr,bad
29,Young,6927,36,repairs,quite rich,4-7yr,good
37,Middle-aged+,1169,48,car,little,4-7yr,bad
43,Middle-aged+,2228,60,repairs,rich,4-7yr,good
46,Middle-aged+,2346,48,car,quite rich,>7yr,bad
26,Young,5704,12,other,little,1-4yr,bad
39,Middle-aged+,3205,36,other,quite rich,<1yr,good
55,Middle-aged+,3231,24,car,moderate,4-7yr,good
45,Middle-aged+,2077,12,other,moderate,1-4yr,good
20,Young,7404,12,other,moderate,1-4yr,bad
18,Young,500,36,furniture,quite rich,1-4yr,good
27,Young,500,24,other,little,<1yr,bad
23,Young,10503,12,car,little,4-7yr,bad
54,Middle-aged+,8174,36,furniture,quite rich,1-4yr,good
49,Middle-aged+,14666,24,other,little,>7yr,good
35,Middle-aged+,1516,24,education,quite rich,>7yr,good
18,Young,7431,60,car,little,4-7yr,bad
28,Young,9063,12,car,quite rich,<1yr,bad
34,Middle-aged+,3117,24,furniture,little,unemployed,good
41,Middle-aged+,3900,6,repairs,quite rich,4-7yr,good
56,Middle-aged+,3608,24,other,rich,4-7yr,good
29,Young,1095,12,other,little,4-7yr,bad
33,Middle-aged+,1676,6,furniture,quite rich,<1yr,good
31,Middle-aged+,5282,60,car,quite rich,<1yr,good
56,Middle-aged+,662,24,other,moderate,4-7yr,good
41,Middle-aged+,3973,24,repairs,quite rich,<1yr,good
35,Middle-aged+,1324,24,car,little,1-4yr,good
26,Young,5582,24,repairs,quite rich,4-7yr,bad
31,Middle-aged+,6608,36,furniture,little,unemployed,bad
52,Middle-aged+,905,36,repairs,moderate,>7yr,good
52,Middle-aged+,5032,48,furniture,little,>7yr,good
43,Middle-aged+,500,24,car,little,1-4yr,good
49,Middle-aged+,7353,36,furniture,rich,<1yr,good
18,Young,2163,12,car,moderate,>7yr,good
47,Middle-aged+,1392,12,education,quite rich,1-4yr,good
37,Middle-aged+,3998,24,car,quite rich,4-7yr,good
24,Young,996,12,other,little,4-7yr,good
32,Middle-aged+,1888,24,repairs,rich,1-4yr,bad
52,Middle-aged+,2045,48,car,little,>7yr,bad
40,Middle-aged+,722,12,furniture,little,1-4yr,bad
42,Middle-aged+,500,36,repairs,little,4-7yr,good
55,Middle-aged+,9375,36,car,little,1-4yr,bad
31,Middle-aged+,500,12,furniture,little,4-7yr,good
31,Middle-aged+,1574,12,car,moderate,4-7yr,good
20,Young,4171,60,car,rich,1-4yr,good
18,Young,500,36,car,little,>7yr,good
60,Middle-aged+,8374,24,furniture,little,unemployed,good
39,Middle-aged+,2763,6,car,little,1-4yr,bad
40,Middle-aged+,4497,24,car,little,4-7yr,bad
42,Middle-aged+,700,36,furniture,moderate,<1yr,good
38,Middle-aged+,500,24,car,moderate,>7yr,good
48,Middle-aged+,849,36,other,quite rich,>7yr,good
46,Middle-aged+,500,36,education,rich,<1yr,good
38,Middle-aged+,4281,24,other,moderate,<1yr,good
38,Middle-aged+,5353,60,education,rich,<1yr,bad
36,Middle-aged+,12975,12,education,quite rich,4-7yr,good
32,Middle-aged+,10302,24,repairs,moderate,1-4yr,good
32,Middle-aged+,5614,60,car,quite rich,unemployed,bad
27,Young,1005,24,car,quite rich,>7yr,good
34,Middle-aged+,551,36,other,moderate,4-7yr,good
61,Middle-aged+,13345,24,other,moderate,1-4yr,good
42,Middle-aged+,2484,24,education,quite rich,1-4yr,good
33,Middle-aged+,4851,48,education,little,>7yr,good
50,Middle-aged+,4146,24,other,quite rich,1-4yr,good
46,Middle-aged+,2211,24,car,moderate,>7yr,bad
39,Middle-aged+,932,36,furniture,little,<1yr,good
41,Middle-aged+,4609,24,repairs,moderate,1-4yr,good
67,Middle-aged+,7121,48,furniture,moderate,1-4yr,good
73,Middle-aged+,4808,6,education,rich,4-7yr,good
40,Middle-aged+,2752,36,repairs,little,4-7yr,good
36,Middle-aged+,3805,36,repairs,rich,>7yr,good
47,Middle-aged+,2595,12,furniture,moderate,unemployed,bad
25,Young,3081,24,repairs,quite rich,1-4yr,bad
42,Middle-aged+,4401,24,furniture,moderate,4-7yr,good
59,Middle-aged+,5750,36,repairs,quite rich,<1yr,bad
61,Middle-aged+,8431,24,furniture,little,>7yr,good
33,Middle-aged+,5555,36,education,rich,>7yr,good
54,Middle-aged+,771,6,car,moderate,<1yr,good
39,Middle-aged+,1906,24,furniture,quite rich,1-4yr,good
36,Middle-aged+,2035,24,repairs,rich,<1yr,good
18,Young,3818,24,education,moderate,4-7yr,bad
34,Middle-aged+,2360,48,furniture,moderate,<1yr,bad
41,Middle-aged+,3150,36,car,moderate,unemployed,good
31,Middle-aged+,5029,24,repairs,moderate,4-7yr,good
37,Middle-aged+,6153,24,car,rich,1-4yr,bad
59,Middle-aged+,2494,24,car,moderate,1-4yr,bad
62,Middle-aged+,2151,24,repairs,quite rich,<1yr,good
25,Young,5335,60,car,little,<1yr,bad
26,Young,507,12,furniture,little,1-4yr,bad
25,Young,2637,48,repairs,moderate,unemployed,bad
33,Middle-aged+,4118,24,other,quite rich,unemployed,good
24,Young,4309,36,education,moderate,1-4yr,bad
18,Young,4188,12,furniture,little,<1yr,good
18,Young,500,24,furniture,quite rich,4-7yr,good
23,Young,1131,48,car,quite rich,unemployed,bad
47,Middle-aged+,1502,24,furniture,little,>7yr,good
53,Middle-aged+,2883,12,furniture,moderate,>7yr,good
70,Middle-aged+,3465,6,education,little,1-4yr,good
39,Middle-aged+,1926,36,repairs,quite rich,<1yr,good
36,Middle-aged+,1165,24,repairs,moderate,4-7yr,good
44,Middle-aged+,4246,48,education,moderate,>7yr,bad
19,Young,1315,24,repairs,moderate,>7yr,good
45,Middle-aged+,2362,36,repairs,little,4-7yr,bad
51,Middle-aged+,2055,24,other,little,4-7yr,good
38,Middle-aged+,2375,24,other,rich,1-4yr,good
36,Middle-aged+,6326,48,car,quite rich,>7yr,good
48,Middle-aged+,2035,6,other,little,1-4yr,good
40,Middle-aged+,2382,12,car,moderate,<1yr,good
32,Middle-aged+,4095,6,furniture,moderate,1-4yr,good
47,Middle-aged+,500,48,other,moderate,>7yr,good
52,Middle-aged+,2596,48,education,moderate,1-4yr,bad
37,Middle-aged+,6161,6,car,little,>7yr,good
35,Middle-aged+,6326,60,car,quite rich,>7yr,good
28,Young,17829,36,car,little,<1yr,good
32,Middle-aged+,500,36,other,moderate,<1yr,good
44,Middle-aged+,554,24,car,little,>7yr,good
18,Young,3687,12,repairs,rich,1-4yr,good
36,Middle-aged+,774,36,car,quite rich,unemployed,good
26,Young,828,12,car,moderate,1-4yr,good
39,Middle-aged+,2653,24,furniture,little,1-4yr,bad
61,Middle-aged+,5705,24,other,rich,4-7yr,good
42,Middle-aged+,3485,24,other,little,<1yr,good
50,Middle-aged+,500,12,car,rich,1-4yr,good
35,Middle-aged+,597,12,car,moderate,unemployed,good
18,Young,500,36,furniture,little,1-4yr,good
45,Middle-aged+,3741,24,other,rich,4-7yr,good
20,Young,2283,48,education,moderate,4-7yr,good
51,Middle-aged+,1647,48,repairs,little,4-7yr,bad
25,Young,1471,36,car,moderate,4-7yr,bad
21,Young,3883,6,other,moderate,4-7yr,good
37,Middle-aged+,500,48,other,little,1-4yr,bad
27,Young,800,60,education,rich,<1yr,good
39,Middle-aged+,710,12,repairs,little,1-4yr,good
47,Middle-aged+,3780,24,education,moderate,4-7yr,good
55,Middle-aged+,500,12,repairs,rich,>7yr,good
33,Middle-aged+,1842,6,car,little,4-7yr,good
30,Middle-aged+,9426,12,education,rich,1-4yr,good
43,Middle-aged+,7203,24,car,quite rich,1-4yr,good
25,Young,2028,24,car,rich,1-4yr,good
39,Middle-aged+,2271,12,other,moderate,4-7yr,good
36,Middle-aged+,7609,6,car,rich,4-7yr,bad
47,Middle-aged+,3887,12,repairs,quite rich,<1yr,good
51,Middle-aged+,500,6,furniture,moderate,1-4yr,bad
28,Young,7202,24,car,quite rich,<1yr,bad
31,Middle-aged+,827,24,car,quite rich,unemployed,good
34,Middle-aged+,1308,24,furniture,quite rich,>7yr,bad
65,Middle-aged+,2328,36,car,rich,4-7yr,good
28,Young,500,48,other,moderate,>7yr,bad
50,Middle-aged+,4493,12,other,little,<1yr,good
45,Middle-aged+,8334,12,education,moderate,1-4yr,good
58,Middle-aged+,2758,12,repairs,little,<1yr,bad
60,Middle-aged+,9833,6,car,little,>7yr,good
41,Middle-aged+,778,6,education,little,<1yr,bad
36,Middle-aged+,2862,36,other,little,1-4yr,bad
62,Middle-aged+,6320,12,repairs,quite rich,1-4yr,good
22,Young,1270,24,other,little,1-4yr,bad
52,Middle-aged+,2607,12,car,rich,unemployed,good
35,Middle-aged+,584,24,car,little,>7yr,good
50,Middle-aged+,3733,36,repairs,little,4-7yr,good
34,Middle-aged+,2617,36,repairs,moderate,>7yr,good
27,Young,3628,12,repairs,little,4-7yr,bad
67,Middle-aged+,500,48,car,rich,>7yr,good
28,Young,21796,6,car,quite rich,1-4yr,bad
64,Middle-aged+,2548,24,education,rich,unemployed,good
36,Middle-aged+,500,12,car,moderate,1-4yr,good
49,Middle-aged+,5256,24,furniture,little,<1yr,bad
52,Middle-aged+,2960,12,car,little,1-4yr,good
36,Middle-aged+,500,24,other,quite rich,unemployed,good
44,Middle-aged+,3723,36,furniture,rich,1-4yr,good
27,Young,9636,60,car,little,<1yr,bad
51,Middle-aged+,3634,6,repairs,rich,<1yr,good
41,Middle-aged+,7116,12,car,moderate,4-7yr,good
26,Young,3422,24,other,quite rich,4-7yr,bad
35,Middle-aged+,1718,24,car,little,<1yr,bad
53,Middle-aged+,2788,24,furniture,little,1-4yr,bad
18,Young,25130,12,car,quite rich,>7yr,bad
51,Middle-aged+,674,24,repairs,quite rich,1-4yr,good
20,Young,8104,48,repairs,moderate,<1yr,bad
43,Middle-aged+,500,24,other,quite rich,>7yr,good
33,Middle-aged+,5859,6,repairs,rich,1-4yr,good
48,Middle-aged+,5539,48,car,rich,1-4yr,bad
36,Middle-aged+,500,36,repairs,quite rich,<1yr,bad
44,Middle-aged+,4561,12,furniture,little,1-4yr,bad
39,Middle-aged+,1679,48,other,little,<1yr,good
18,Young,4103,60,repairs,little,1-4yr,bad
29,Young,1736,24,repairs,moderate,<1yr,bad
45,Middle-aged+,7998,48,car,little,1-4yr,good
22,Young,5266,60,repairs,little,>7yr,bad
18,Young,500,12,repairs,little,1-4yr,good
57,Middle-aged+,1672,36,other,quite rich,>7yr,good
48,Middle-aged+,500,24,furniture,little,1-4yr,bad
40,Middle-aged+,516,60,car,little,>7yr,good
51,Middle-aged+,8610,48,other,moderate,<1yr,good
40,Middle-aged+,3806,12,education,quite rich,>7yr,good
30,Middle-aged+,5306,24,other,little,1-4yr,good
19,Young,1195,12,car,little,1-4yr,good
31,Middle-aged+,1429,6,other,little,unemployed,bad
32,Middle-aged+,500,36,furniture,little,>7yr,bad
33,Middle-aged+,623,48,repairs,quite rich,>7yr,good
51,Middle-aged+,1237,36,furniture,moderate,1-4yr,good
40,Middle-aged+,7080,36,education,moderate,<1yr,good
39,Middle-aged+,2303,24,education,little,1-4yr,good
44,Middle-aged+,2915,24,car,quite rich,1-4yr,good
46,Middle-aged+,500,24,other,moderate,1-4yr,good
49,Middle-aged+,500,60,furniture,rich,1-4yr,good
40,Middle-aged+,500,12,other,little,<1yr,good
42,Middle-aged+,13787,24,repairs,rich,1-4yr,bad
55,Middle-aged+,3952,36,education,little,4-7yr,good
36,Middle-aged+,5692,36,furniture,quite rich,1-4yr,good
47,Middle-aged+,6393,48,repairs,moderate,4-7yr,good
30,Middle-aged+,14274,36,other,rich,>7yr,good
55,Middle-aged+,16902,24,furniture,little,<1yr,bad
29,Young,3179,24,car,little,4-7yr,bad
62,Middle-aged+,6179,36,car,little,4-7yr,bad
29,Young,2140,48,repairs,little,1-4yr,bad
23,Young,10935,48,car,moderate,1-4yr,good
57,Middle-aged+,3914,12,education,little,>7yr,good
42,Middle-aged+,770,36,education,moderate,1-4yr,good
55,Middle-aged+,6179,24,car,moderate,4-7yr,good
39,Middle-aged+,8036,36,education,quite rich,<1yr,good
18,Young,1017,60,repairs,quite rich,unemployed,bad
54,Middle-aged+,926,48,car,quite rich,<1yr,good
57,Middle-aged+,500,36,education,quite rich,4-7yr,good
45,Middle-aged+,3305,12,other,moderate,1-4yr,good
43,Middle-aged+,3419,24,furniture,moderate,4-7yr,good
27,Young,5013,36,furniture,little,1-4yr,bad
22,Young,1409,36,furniture,little,1-4yr,bad
25,Young,874,24,education,moderate,1-4yr,bad
19,Young,2361,12,furniture,little,4-7yr,bad
49,Middle-aged+,701,48,other,moderate,4-7yr,good
41,Middle-aged+,3657,12,repairs,rich,1-4yr,good
45,Middle-aged+,4198,6,car,moderate,>7yr,good
33,Middle-aged+,1711,36,other,quite rich,1-4yr,good
38,Middle-aged+,500,6,other,moderate,1-4yr,good
30,Middle-aged+,966,48,car,moderate,>7yr,good
64,Middle-aged+,8962,12,education,little,4-7yr,good
34,Middle-aged+,2150,12,education,quite rich,4-7yr,good
26,Young,1394,60,repairs,little,<1yr,good
50,Middle-aged+,1762,12,car,little,4-7yr,good
31,Middle-aged+,4141,24,repairs,moderate,4-7yr,good
23,Young,940,12,education,rich,4-7yr,good
48,Middle-aged+,3158,12,car,little,4-7yr,good
26,Young,1736,24,repairs,moderate,<1yr,bad
47,Middle-aged+,12944,24,education,little,<1yr,good
44,Middle-aged+,1556,24,education,moderate,4-7yr,good
44,Middle-aged+,6664,6,furniture,quite rich,1-4yr,good
62,Middle-aged+,3446,24,education,quite rich,<1yr,good
42,Middle-aged+,4567,36,furniture,quite rich,1-4yr,good
51,Middle-aged+,2900,48,other,rich,unemployed,good
38,Middle-aged+,5357,36,furniture,quite rich,>7yr,good
56,Middle-aged+,500,24,furniture,little,4-7yr,good
40,Middle-aged+,4516,12,car,moderate,4-7yr,good
23,Young,2917,12,education,little,4-7yr,bad
18,Young,1473,60,repairs,little,4-7yr,good
36,Middle-aged+,2394,48,repairs,little,4-7yr,bad
39,Middle-aged+,500,36,car,moderate,>7yr,good
57,Middle-aged+,2332,12,education,little,1-4yr,good
31,Middle-aged+,2183,24,repairs,little,4-7yr,bad
40,Middle-aged+,1638,60,repairs,little,4-7yr,good
28,Young,8585,36,car,quite rich,4-7yr,bad
67,Middle-aged+,3817,36,education,little,4-7yr,bad
33,Middle-aged+,574,24,furniture,moderate,4-7yr,good
36,Middle-aged+,9609,12,car,moderate,<1yr,good
21,Young,1832,48,repairs,quite rich,<1yr,bad
56,Middle-aged+,5650,12,car,quite rich,unemployed,good
21,Young,4003,48,repairs,moderate,1-4yr,bad
38,Middle-aged+,7787,60,other,little,>7yr,bad
40,Middle-aged+,3055,48,other,moderate,1-4yr,good
35,Middle-aged+,1603,36,education,quite rich,unemployed,good
39,Middle-aged+,19243,60,other,rich,<1yr,good
52,Middle-aged+,500,12,car,quite rich,unemployed,good
57,Middle-aged+,500,12,education,rich,<1yr,good
52,Middle-aged+,5871,36,other,little,1-4yr,good
47,Middle-aged+,4072,36,other,moderate,4-7yr,good
57,Middle-aged+,500,48,repairs,little,<1yr,bad
39,Middle-aged+,5305,6,other,moderate,4-7yr,bad
32,Middle-aged+,13494,12,repairs,little,1-4yr,bad
54,Middle-aged+,2996,60,repairs,little,1-4yr,good
21,Young,2981,24,furniture,little,unemployed,bad
18,Young,1586,24,education,little,4-7yr,bad
46,Middle-aged+,2462,12,furniture,moderate,4-7yr,good
63,Middle-aged+,521,36,other,little,>7yr,bad
28,Young,2659,24,repairs,rich,4-7yr,good
38,Middle-aged+,2841,12,furniture,little,1-4yr,good
20,Young,19606,24,repairs,moderate,4-7yr,bad
38,Middle-aged+,4414,48,car,quite rich,4-7yr,good
25,Young,18671,6,repairs,little,<1yr,bad
48,Middle-aged+,2549,24,furniture,quite rich,1-4yr,good
32,Middle-aged+,10457,48,car,rich,1-4yr,bad
30,Middle-aged+,6652,36,repairs,moderate,<1yr,good
65,Middle-aged+,3857,60,car,quite rich,>7yr,good
30,Middle-aged+,1106,6,repairs,little,4-7yr,good
23,Young,500,36,other,little,1-4yr,bad
35,Middle-aged+,7905,6,furniture,quite rich,<1yr,bad
50,Middle-aged+,2098,24,furniture,little,1-4yr,good
69,Middle-aged+,3691,60,car,rich,<1yr,bad
42,Middle-aged+,4904,36,education,rich,>7yr,good
20,Young,11269,12,other,quite rich,1-4yr,good
32,Middle-aged+,3958,48,furniture,rich,4-7yr,good
33,Middle-aged+,6655,60,car,quite rich,<1yr,good
64,Middle-aged+,1474,12,repairs,quite rich,1-4yr,bad
45,Middle-aged+,883,36,repairs,rich,<1yr,good
44,Middle-aged+,500,24,repairs,moderate,<1yr,good
20,Young,500,36,other,little,1-4yr,bad
57,Middle-aged+,4542,24,education,quite rich,1-4yr,good
34,Middle-aged+,7151,48,furniture,little,4-7yr,good
48,Middle-aged+,2406,6,car,moderate,4-7yr,good
41,Middle-aged+,2138,24,car,rich,unemployed,good
25,Young,1634,36,car,little,1-4yr,bad
24,Young,6694,6,car,moderate,<1yr,good
36,Middle-aged+,1129,60,education,little,1-4yr,bad
45,Middle-aged+,973,12,car,little,1-4yr,bad
57,Middle-aged+,2290,6,car,little,1-4yr,good
40,Middle-aged+,500,36,other,little,4-7yr,bad
31,Middle-aged+,1243,48,furniture,rich,<1yr,good
28,Young,5018,24,education,rich,4-7yr,bad
41,Middle-aged+,3733,36,other,little,1-4yr,bad
37,Middle-aged+,8689,36,other,little,<1yr,bad
39,Middle-aged+,500,12,car,moderate,1-4yr,bad
46,Middle-aged+,5813,48,education,quite rich,1-4yr,good
50,Middle-aged+,876,36,furniture,little,4-7yr,good
45,Middle-aged+,12015,24,furniture,moderate,unemployed,good
53,Middle-aged+,1297,24,other,quite rich,<1yr,good
55,Middle-aged+,3321,24,furniture,quite rich,1-4yr,good
26,Young,500,48,repairs,moderate,>7yr,bad
29,Young,2618,12,education,quite rich,4-7yr,good
